DIRECTION,REVENUE,SALES_VOLUME,FREIGHT_RATE,NUM_40,NUM_20,percent_40,Nomal_Rate,score
潍坊_三水,7056,60,2352.0,0,3,0.0,1.0,0.2240102484833536
小铲滩_黄骅,12495,260,1561.875,5,3,0.625,1.0,0.22398682363260217
虎门_洋浦港,15861,320,1586.13,6,4,0.6,1.0,0.22394321270411877
新港_李锦记,2353,20,2353.05,0,1,0.0,1.0,0.22390752629759497
新港_东莞海腾,2353,20,2353.05,0,1,0.0,1.0,0.22390752629759497
湛江海安_宜昌,32589,280,2327.8499999999995,0,14,0.0,1.0,0.2238515273596856
北海_泉州,6898,120,1724.625,2,2,0.5,1.0,0.22381741092639473
烟台_珠海（高栏）,25653,220,2332.145454545454,0,11,0.0,1.0,0.22380458826100716
秦皇岛_温州,24960,280,2773.4,5,4,0.5555555555555556,0.56,0.22373936305527553
日照_湛江海安,7030,60,2343.6,0,3,0.0,1.0,0.22367941733119795
龙通_海口,479469,9960,1271.8034482758624,121,256,0.3209549071618037,0.91,0.22358931174489366
营口_广浚东江口,4683,40,2341.5,0,2,0.0,1.0,0.22352467150327
寿光_汕头,46536,560,2023.304347826087,5,18,0.21739130434782608,1.0,0.2234308500484018
江阴_珠海（高栏）,4774,80,2387.175,2,0,1.0,0.5,0.2233176419728945
武汉_汕头,128761,1100,2341.1181818181813,0,55,0.0,0.96,0.22326764983774622
烟台_台山,18580,160,2322.6,0,8,0.0,1.0,0.22321252965025407
鹏成_锦州,6482,240,1080.45,6,0,1.0,1.0,0.22317902518479174
泉州_重庆,677852,5660,2455.9880434782503,7,269,0.025362318840579712,0.74,0.22311904218535922
新港_顺德新港,722492,6980,2449.126779661027,54,241,0.18305084745762712,0.62,0.2230869867595517
潍坊_中山,13927,120,2321.2000000000007,0,6,0.0,1.0,0.22301331504511668
连云港_小铲滩,85984,1000,2097.182926829269,9,32,0.2195121951219512,0.95,0.22295344500463643
乍浦_新沙,210668,4140,1671.9750000000038,81,45,0.6428571428571429,0.8,0.22286631168683263
宿迁_肇庆（三榕）,13020,160,2604.0,3,2,0.6,0.6,0.22285537324746874
芜湖_锦州,49014,1500,1256.7692307692307,36,3,0.9230769230769232,0.92,0.22280323328583856
福鼎_营口,2170,80,1085.175,2,0,1.0,1.0,0.22278881338876688
泸州_青岛,20790,180,2310.0,0,9,0.0,1.0,0.2227883209619096
潍坊_黄埔旧港,79133,700,2260.949999999999,0,35,0.0,1.0,0.22272949237840162
芜湖_中山,6958,60,2319.45,0,3,0.0,1.0,0.2227282777687504
盘锦_武汉,18480,160,2310.0,0,8,0.0,1.0,0.22271628292202056
荆州_虎门,16170,140,2310.0,0,7,0.0,1.0,0.2226442448821315
南通_福鼎,2320,20,2320.5,0,1,0.0,1.0,0.22262555558299177
铜陵_南沙,2319,20,2319.45,0,1,0.0,1.0,0.2225842016889723
