DIRECTION,REVENUE,SALES_VOLUME,FREIGHT_RATE,NUM_40,NUM_20
大丰台山,2961,40,1480.5,0,2
太仓新港,44949,1500,1070.2250000000001,33,9
乐平连云港,-2081,280,-148.65000000000003,0,14
唐山海口,62971,660,2099.0550000000007,3,27
淮安昆明,1365,40,682.5,0,2
青岛赤水,63616,540,2356.1611111111115,0,27
唐山马尾,58748,800,1468.7137500000001,0,40
铜陵钦州,8645,60,2881.9,0,3
马尾中山,802,40,401.1,0,2
宁波博罗,22719,380,1622.8499999999997,5,9
合肥厦门,71318,940,1584.846666666667,2,43
合肥阳江,62025,520,2385.5999999999995,0,26
鹤山烟台,722,40,361.2,0,2
贵港蚌埠,6436,80,1609.125,0,4
顺乐南京,5405,300,415.79999999999995,2,11
马尾威海,653,40,653.1,1,0
深圳（大铲湾）大连,8458,360,939.8666666666668,9,0
龙口北海,15326,120,3065.37,1,4
新会新港太仓,19182,600,834.0195652173913,7,16
上海锦州,8591,320,781.0090909090909,5,6
丹东泸州,10689,40,5344.5,0,2
